time,open,high,low,close,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,MACD,Signal Line,Histogram,Cross
2020-01-06,70.32,71.355,68.625,69.14,79529113,43.97345025756724,43.25236431311653,NaN,NaN,NaN,NaN,-1.0456557151578352,-1.3951268938605905,0.34947117870275535,NaN
2020-01-13,69.2,69.87,68.29,68.56,69107316,42.23388103106064,43.45358501028801,NaN,NaN,NaN,NaN,-1.0594457899159266,-1.3277570883734977,0.26831129845757107,NaN
2020-01-21,68.38,68.42,66.04,66.32,72860157,36.26676243879672,43.41451626741947,NaN,NaN,NaN,NaN,-1.236865981935324,-1.2868772138049627,0.05001123186963863,NaN
2020-01-27,65.42,65.73,61.86,62.12,107952753,28.216748971093054,42.44634927756971,NaN,NaN,NaN,NaN,-1.6968178020994173,-1.2934535768141113,-0.403364225285306,-1.2934535768141113
2020-02-03,61.38,63.01,59.89,61.47,122586472,27.21012536268941,41.33261137602854,NaN,NaN,NaN,NaN,-2.0896938116057555,-1.3551288442032643,-0.7345649674024912,NaN
2020-02-10,60.48,61.53,59.62,60.65,81509968,25.952297730374397,39.88413254400329,NaN,NaN,NaN,NaN,-2.439101581884458,-1.4640562416065057,-0.9750453402779522,NaN
2020-02-18,60.15,60.6225,58.79,59.13,66892607,23.75976008660311,38.543829577119766,NaN,NaN,NaN,NaN,-2.8063116402864665,-1.628528949385927,-1.1777826909005396,NaN
2020-02-24,57.62,57.8,48.01,51.44,208933168,16.2704921460589,36.62858476525428,NaN,NaN,NaN,NaN,-3.6754783625069862,-1.9023633620406197,-1.7731150004663665,NaN
2020-03-02,52.59,54.15,47.2,47.69,209216559,13.959690271223849,34.755704180667806,NaN,NaN,NaN,NaN,-4.613708947010167,-2.295897736933593,-2.317811210076574,NaN
2020-03-09,41.71,46.26,35,38.12,330904898,10.040588485982141,32.28352131883266,NaN,NaN,NaN,NaN,-6.059630812965537,-2.8530060811344486,-3.2066247318310883,NaN
2020-03-16,34.4,37.88,31.23,32.74,270112657,8.581938248975788,29.758400318550677,NaN,NaN,NaN,NaN,-7.552593747113292,-3.574466965267489,-3.978126781845803,NaN
2020-03-23,32.53,39.56,30.11,36.95,273709050,18.55320841756958,27.777165193271205,NaN,NaN,NaN,NaN,-8.300384151393011,-4.359302317429455,-3.9410818339635565,NaN
2020-03-30,36.23,42.18,35.86,39.21,233798353,23.384320975385933,26.1515173083213,NaN,NaN,NaN,NaN,-8.611383651596292,-5.127587411817996,-3.483796239778296,NaN
